tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean SCADDING 0	Fold Change (other vs. SCADDING_0)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
LINC01342	-	-	LINC01342	LINC01342	TSS2510	chr1:1137016-1144054	-	-	0.00828695479452055	0	Inf	2.72272326730788	0.0253866564159963	0.632301740524213	0.526655901652489	15	1	0	0	0.00643561382978723
TNFRSF4	-	-	TNFRSF4	TNFRSF4	TSS36373	chr1:1211325-1214168	-	-	0.632059330136986	0.30828420952381	2.05024879838411	1.37301378154176	0.0320366928841679	0.677754775212303	0.564514581191553	83	70	13	0.3183865	0.559726590425532
PLCH2	-	-	PLCH2	PLCH2	TSS22645,TSS25109	chr1:2467458-2505530	-	-	0.35308605630137	0.171830123809524	2.05485539132109	1.11306431063495	0.03442206955141	0.681685900298524	0.567788888526333	90	65	8	0.1881015	0.312592709680851
RNF207	-	-	RNF207	RNF207	TSS35327	chr1:6206128-6221299	-	-	0.206386474260268	0.0928241787398733	2.22341287649457	1.22272879071042	0.0108805841815678	0.521405478742002	0.434288338832909	88	52	1	0.1122795	0.181016174197201
UTS2	-	-	UTS2	UTS2	TSS20334,TSS22840	chr1:7847611-7853491	-	-	0.341811335616438	0.105573523809524	3.2376615204503	2.59401600518351	0.036512865510481	0.685468874332229	0.570939798088905	27	24	9	0	0.289034803191489
PLA2G2F	-	-	PLA2G2F	PLA2G2F	TSS31142	chr1:20139329-20150386	-	-	0.00429199178082192	0	Inf	2.28969439523674	0.0160565269624313	0.577829404700093	0.481284878136431	17	0	0	0	0.00333314255319149
NBL1	-	-	NBL1	NBL1	TSS1011,TSS21321,TSS21806,TSS22276,TSS3303,TSS7451,TSS979	chr1:19643228-19658456	-	-	0.757275766498993	0.205672335809062	3.68195247805235	1.5235266520837	0.00759545845485038	0.511536142425049	0.426067984714624	86	57	22	0.2509555	0.634045212834221
LOC100506801	-	-	LOC100506801	LOC100506801	TSS31428	chr1:21293289-21299869	-	-	0.0640868726027397	0.024541080952381	2.61141197191325	1.6367314561326	0.0206200925293723	0.595345712094859	0.495874536954964	54	19	0	0.01548875	0.0552521744680851
SNORA73B	-	-	SNORA73B	SNORA73B	TSS29223	chr1:28508557-28508715	-	-	13.488814109589	4.48478	3.00768691208689	3.08678287644625	0.0442022912885562	0.685468874332229	0.570939798088905	50	50	50	2.206785	11.4772745744681
LCK	-	-	LCK	LCK	TSS12239,TSS13245	chr1:32251238-32286167	-	-	11.8444616986301	5.52943961904762	2.14207270802429	1.05838009551598	0.0054751785114028	0.511536142425049	0.426067984714624	94	94	91	6.144935	10.433658893617
ZSWIM5	-	-	ZSWIM5	ZSWIM5	TSS10582	chr1:45016403-45206578	-	-	0.0862175771232877	0.0366098157142857	2.35503991050259	1.525883980412	0.0108721900082422	0.521405478742002	0.434288338832909	73	25	0	0.035782	0.0751349921276596
FAM159A	-	-	FAM159A	FAM159A	TSS24840	chr1:52633393-52657065	-	-	2.12512811643836	5.28887657142857	-2.488733046501	1.38168410225297	-0.0226851458630626	0.606856206979421	0.505461842624674	88	87	69	1.91253	2.83192298404255
