tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean SCADDING 0	Fold Change (other vs. SCADDING_0)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
TNFRSF4	-	-	TNFRSF4	TNFRSF4	TSS36373	chr1:1211325-1214168	-	-	0.684037259259259	0.30828420952381	2.21885272786386	1.27636817535592	0.0480009821319164	0.528038876682232	0.425551116920561	41	31	7	0.3039585	0.5196453
RNF207	-	-	RNF207	RNF207	TSS35327	chr1:6206128-6221299	-	-	0.234524881522292	0.0928241787398733	2.52654949072606	1.29902524646965	0.0234183365698997	0.525336979923097	0.423373634855455	43	24	1	0.0976984	0.172530824054984
TNFRSF25	-	-	TNFRSF25	TNFRSF25	TSS14993	chr1:6461153-6466195	-	-	4.96975088888889	2.35730072380952	2.10823796840715	1.14445493268875	0.0495284320473825	0.528038876682232	0.425551116920561	46	45	37	2.51726	3.82680394166667
C1orf127	-	-	C1orf127	C1orf127	TSS15182	chr1:10946472-10982037	-	-	0.175428948148148	0.0830708652380952	2.11179873527667	1.0249176063727	0.0456977942714848	0.525336979923097	0.423373634855455	41	26	0	0.120405	0.135022286875
CLCNKB	-	-	CLCNKB	CLCNKB	TSS20626,TSS21174	chr1:16043735-16057326	-	-	0.00601665333333333	0.0248752904761905	-4.13440647118173	2.38556164175433	-0.0197963442042341	0.525336979923097	0.423373634855455	19	1	0	0	0.0142673070833333
PLA2G2F	-	-	PLA2G2F	PLA2G2F	TSS31142	chr1:20139329-20150386	-	-	0.00252327555555556	0	Inf	3.06017997295088	0.0415371221753647	0.525336979923097	0.423373634855455	5	0	0	0	0.0014193425
NBL1	-	-	NBL1	NBL1	TSS1011,TSS21321,TSS21806,TSS22276,TSS3303,TSS7451,TSS979	chr1:19643228-19658456	-	-	0.896451006646222	0.205672335809062	4.35863677591745	1.82782039250649	0.0158895510548885	0.525336979923097	0.423373634855455	44	27	10	0.1496255	0.594235338154965
LOC101928163	-	-	LOC101928163	LOC101928163	TSS13747	chr1:23521929-23528419	-	-	0.020819085257363	0	Inf	3.45827497521707	0.0134653788160439	0.525336979923097	0.423373634855455	7	1	0	0	0.0117107354572667
ZNF683	-	-	ZNF683	ZNF683	TSS31649	chr1:26361633-26372794	-	-	7.09829662962963	1.87311910952381	3.78955966736903	1.79964228778693	0.00996275558382063	0.525336979923097	0.423373634855455	46	43	35	1.54172	4.81228146458333
TRNP1	-	-	TRNP1	TRNP1	TSS19781	chr1:26993703-27000886	-	-	0.0490755148148148	0.197989580952381	-4.03438622497369	2.09203091462009	-0.0255412168394234	0.525336979923097	0.423373634855455	28	14	1	0.0288612	0.11422541875
SNORD99	-	-	SNORD99	SNORD99	TSS17816	chr1:28578742-28578822	-	-	211.8732	917.99000952381	-4.33273301920115	1.97019058025185	-0.0395325137306155	0.525336979923097	0.423373634855455	43	43	43	205.0355	520.799304166667
LCK	-	-	LCK	LCK	TSS12239,TSS13245	chr1:32251238-32286167	-	-	14.7772416666667	5.52943961904762	2.67246641337081	1.26460406770988	0.00795077334597413	0.525336979923097	0.423373634855455	48	48	45	6.369235	10.7313282708333
AZIN2	-	-	AZIN2	AZIN2	TSS23747,TSS27906,TSS36322	chr1:33081112-33120531	-	-	0.597923359259259	0.267191666666667	2.23780691485859	1.09298802397064	0.0186719031415348	0.525336979923097	0.423373634855455	41	37	7	0.291163	0.45322824375
SH3D21	-	-	SH3D21	SH3D21	TSS31704,TSS7139	chr1:36306392-36321347	-	-	1.33128948148148	0.655747414285714	2.03018639872429	0.630891102564267	7.01593265762088e-05	0.525336979923097	0.423373634855455	48	46	20	0.8912805	1.03573982708333
INADL	-	-	INADL	INADL	TSS29686	chr1:61742476-62163919	-	-	0.339541074074074	0.15075293952381	2.2523015149595	1.00751520021581	0.0189212645420242	0.525336979923097	0.423373634855455	48	35	1	0.1622875	0.256946265208333
IL23R	-	-	IL23R	IL23R	TSS32594	chr1:67166485-67259967	-	-	0.325392327777778	0.0615737476190476	5.28459514582346	2.86928823480923	0.0472610108599256	0.525336979923097	0.423373634855455	33	21	2	0.0634348	0.209971698958333
IL12RB2	-	-	IL12RB2	IL12RB2	TSS14387	chr1:67307363-67396900	-	-	1.09281912925926	0.344335001428571	3.17370910516035	1.40922321816726	0.0376641348601156	0.525336979923097	0.423373634855455	45	39	13	0.3981725	0.765357323333333
LOC646626	-	-	LOC646626	LOC646626	TSS3584	chr1:85276357-85278088	-	-	0.0935955007192959	0.279144771187143	-2.98245929603316	1.34750781602997	-0.0306466367402829	0.525336979923097	0.423373634855455	45	23	1	0.089853	0.174773306548979
