gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
LINC01361_TSS24489,TSS24511	6.45715128629256e-05	0.272748583367962	0.0423406999600922	19	0	0	0	0.00330662631578947
LOC101928436_TSS11557	7.82637526188649e-06	0.303676246808868	0.00588658513447715	4	4	0	0	0.00231971770334928
MIR4256_TSS33692	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	1	1	0	0.240384688995215
RNVU1-17_TSS4273	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.0104908133971292
RNVU1-8_TSS13375	6.24746468612136e-06	0.306776818136155	0.00499270045056818	4	4	4	0	0.0687813397129187
OR10J3_TSS28476	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	0.000196376555023923
MIR7976_TSS19106	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	1	1	0	0.875311004784689
MIR4448_TSS17507	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	1	1	0	0.0965028708133971
USP17L25_TSS10337	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	0.000132959330143541
UGT2B28_TSS17160	1.32465406099546e-05	0.296293763038396	0.00915550764914509	9	1	0	0	0.00265211722488038
RNU6-34P_TSS14607	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.0445826315789474
LINC01262_TSS20716	3.24505516832872e-05	0.283235819487147	0.0218383673209659	10	5	0	0	0.00564960717703349
MIR6835_TSS36492	9.57577822136702e-08	0.358793397348396	0.00111499027501847	3	3	3	0	0.645281818181818
MIR1183_TSS15324	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.0941191387559809
MIR3907_TSS11981	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.0152933971291866
DEFA11P_TSS35272	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	1	0	0	0.00149184688995215
SMIM18_TSS32618	2.56862901955118e-07	0.347338629059198	0.00164218874792456	26	12	0	0	0.0166975229665072
SPATA31A7_TSS13137	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	2.2983014354067e-05
SPATA31A5_TSS13137	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	2.29145933014354e-05
OR51B4_TSS8736	6.88693580174152e-07	0.335414930900003	0.00352239218515872	13	0	0	0	0.00323625502392344
LOC102723544_TSS14861	1.30800876903586e-07	0.355221768636424	0.00111499027501847	3	3	0	0	0.00375871770334928
MIR200C_TSS20656	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.174179425837321
MIR3657_TSS25766	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.0627095693779904
MIR6763_TSS18107	5.57643553580622e-06	0.308327103799799	0.00460019954700556	4	4	4	0	0.931598086124402
OR5AU1_TSS17632	1.32633675098532e-12	0.46490595582784	3.39184097329475e-08	4	0	0	0	0.00087148947368421
NF1P2_TSS27556	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	0.000212544976076555
SNORD116-14_TSS17467	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.12136028708134
MIR193B_TSS23112	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.10700956937799
MIR632_TSS1713	9.84765949183601e-06	0.300478125030802	0.00699539433846451	9	2	2	0	0.129476555023923
KRTAP9-9_TSS18141	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	0	0	0	0.000198841148325359
KRTAP4-3_TSS15548	8.75129326800206e-06	0.302125961145224	0.00639419493550334	4	0	0	0	0.00105393014354067
MIR8059_TSS35519	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	1	1	0	0.116384210526316
MIR5190_TSS5280	2.03939433963641e-06	-0.321683377217345	0.00352659518172792	1	1	1	0	0.100841148325359
OR10H2_TSS1152	7.29621175902727e-05	0.270841297701615	0.0466465058284011	5	0	0	0	0.00103783923444976
DEFB116_TSS29416	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	0	0	0.00166375119617225
MIR1468_TSS33635	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	1	1	0	0.0843334928229665
TCP11X2_TSS11426	7.82637526188649e-06	0.303676246808868	0.00588658513447715	4	0	0	0	0.000468411961722488
OPN1MW2_TSS9226	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	0.000186837320574163
OPN1MW_TSS9226	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	3.48528229665072e-09
TTTY8_TSS4810	4.13709206787774e-06	0.312359221355972	0.00352659518172792	1	0	0	0	0.000469234928229665
