tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
STPG1_TSS25240,TSS8095	0.000449818884883965	-0.242883197212145	0.0102842759539526	207	207	207	5.04423	5.16518071770335	0.00013514367965696	-0.264732597213097	0.0165463512384267	207	207	207	5.04423	5.16518071770335
ZFYVE9_TSS23114	0.00290191349674712	-0.206996807883784	0.0363428764773901	205	190	4	0.378959	0.416177844258373	0.000648185595012003	-0.23741199704031	0.0404104194978093	205	190	4	0.378959	0.416177844258373
LPAR3_TSS31752	0.00137248137980349	-0.222083981602888	0.0221103117261468	204	201	146	1.77051	2.30095476937799	0.000887627209202009	-0.231544492440546	0.047866327203402	204	201	146	1.77051	2.30095476937799
FAM212B_TSS23351,TSS35432	5.51255035867439e-09	-0.393135288659101	1.36802232735996e-06	209	209	207	3.45787	3.45379391866029	0.000793048971398384	-0.233663995532364	0.0453616396416431	209	209	207	3.45787	3.45379391866029
GPA33_TSS1559	0.00419930079349859	-0.19915675761222	0.0460087130658455	209	209	209	40.1054	42.9696586602871	1.72417996800978e-05	-0.296666978005988	0.00595564380571595	209	209	209	40.1054	42.9696586602871
NAV1_TSS4182,TSS6789	0.00170236761441729	-0.217845563615783	0.0256418494944729	208	208	191	1.6098	1.68729528229665	0.000361947469701103	-0.247922398366292	0.0292774806893608	208	208	191	1.6098	1.68729528229665
CD55_TSS22160	0.000486238136370921	-0.241489092619865	0.0108642771012038	209	209	209	35.3043	35.4187440191388	0.000946878272985256	-0.230320249639145	0.049698471326029	209	209	209	35.3043	35.4187440191388
FAM89A_TSS4251	0.00119170466436417	-0.224821327822835	0.0200007635757141	209	209	209	52.2642	52.008809569378	3.26017838089872e-05	-0.287194756976632	0.00789241781549392	209	209	209	52.2642	52.008809569378
SLC6A6_TSS1526	4.10160588129054e-05	-0.282349624109998	0.00175907966328301	209	209	209	45.6833	46.3137755980861	0.000424158632038019	-0.245106150333554	0.0321718658561537	209	209	209	45.6833	46.3137755980861
GABRA4_TSS15695,TSS32018	1.0770518177327e-05	-0.302023757742747	0.000634343813665102	198	79	1	0.071935	0.115336817703349	7.07675201531745e-06	-0.309374373138782	0.00393236648398977	198	79	1	0.071935	0.115336817703349
FAM134B_TSS1869,TSS33898	0.000563524462677186	-0.238825337875592	0.012084101334305	209	209	209	8.34997	8.85565444976076	0.000891875462539679	-0.231454250334673	0.047927720069791	209	209	209	8.34997	8.85565444976076
SOX4_TSS16511	0.00401753486622272	-0.200110473051029	0.0445133111033892	209	209	209	4.92176	5.14456645933014	0.000612366000430418	-0.238457762019374	0.0389370331766217	209	209	209	4.92176	5.14456645933014
SNAI2_TSS33924	0.00132979775711118	-0.222699127154141	0.0216504642243819	202	196	117	1.13173	1.29441421722488	3.90998282322257e-05	-0.284429206935665	0.00832858924536602	202	196	117	1.13173	1.29441421722488
CORO2A_TSS20932,TSS22985	2.63285231575746e-05	-0.289034496435469	0.00125322789651911	209	209	209	22.4344	22.3545371291866	0.000258189746478372	-0.253815052226801	0.0244429189249395	209	209	209	22.4344	22.3545371291866
AKR1C3_TSS27896,TSS3470	0.00364487534351258	-0.202193997076432	0.0420427159997857	209	209	209	42.8864	47.3417968899521	3.4363103545515e-06	-0.319267082518972	0.00320545937275026	209	209	209	42.8864	47.3417968899521
DENND5A_TSS12877	0.000498226302006085	-0.241051301211042	0.011056931650529	209	209	209	60.6601	60.1269454545455	0.000230972319773599	-0.255727930247337	0.0225495233926763	209	209	209	60.6601	60.1269454545455
DGAT2_TSS13748	2.24792182831251e-05	-0.291377762732135	0.00111724285823557	208	207	203	4.8078	5.35869074832536	0.000419294576651015	-0.245312042085451	0.0319928020112734	208	207	203	4.8078	5.35869074832536
ADCY6_TSS4650	0.000239268439877175	-0.253902323338589	0.00660468746403939	202	176	13	0.232584	0.363640475741627	5.46499172486738e-05	-0.279257070332989	0.00999138840960277	202	176	13	0.232584	0.363640475741627
LATS2_TSS35058	0.000222903877376382	-0.255108804295302	0.00627494053922654	209	209	208	5.15263	5.11747718660287	0.00012671340306672	-0.265793483218979	0.0161483033856943	209	209	208	5.15263	5.11747718660287
IRS2_TSS5397	0.00131891426551759	-0.22285886874393	0.0216038897317157	209	209	209	14.0603	14.2529357894737	0.000341480782672883	-0.248947866975549	0.0284974258771091	209	209	209	14.0603	14.2529357894737
JPH4_TSS6975	0.000891764968086626	-0.230341820144814	0.0163370874396326	208	207	206	2.89963	2.91742471770335	1.07766733881465e-05	-0.303446934884799	0.00459104247457354	208	207	206	2.89963	2.91742471770335
TTC7B_TSS12377	1.87859325162273e-07	-0.354244469392715	2.29754651218797e-05	209	209	209	12.9763	12.8840138755981	0.00080691293186718	-0.233339197303596	0.0457603554559854	209	209	209	12.9763	12.8840138755981
ODF3L1_TSS109	0.00251594628085571	-0.209951646067357	0.0333849786373429	206	205	180	2.3205	2.74379872583732	0.000511282383673432	-0.241746790627922	0.0356937100382748	206	205	180	2.3205	2.74379872583732
ADCY9_TSS3133	0.000658594263286501	-0.235977681197753	0.0133499825248741	207	207	205	2.88791	2.93499788995215	1.79172944207628e-06	-0.327893106878954	0.00237797692362631	207	207	205	2.88791	2.93499788995215
GGA2_TSS21779	9.37087402114102e-09	-0.38760319722034	2.08286009438596e-06	209	209	209	82.3653	82.7998626794258	0.000107605332409345	-0.268466085843417	0.0151571870013963	209	209	209	82.3653	82.7998626794258
AMFR_TSS30832	5.69818842909287e-05	-0.27727976219698	0.00225118074862508	209	209	209	30.0196	29.8232066985646	0.000653552768640281	-0.237259918920156	0.0406458937207158	209	209	209	30.0196	29.8232066985646
