tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
PGM1_TSS16620,TSS1995,TSS32781	0.000290576639594968	-0.250563314548193	0.00744537191445921	209	209	209	23.6662	23.7354443062201	0.000365436786483684	0.246564649086631	0.0122423718208512	209	209	209	23.6662	23.7354443062201
LPAR3_TSS31752	0.00137248137980349	-0.222083981602888	0.0221103117261468	204	201	146	1.77051	2.30095476937799	0.00018460626715033	0.258291021120048	0.00714957696155999	204	201	146	1.77051	2.30095476937799
TMEM56_TSS28841,TSS30872	3.68847258061605e-08	-0.372823503052612	6.37034105629235e-06	207	196	56	0.669077	0.853043556937799	0.000776667877633505	0.232928011401	0.0219849475306645	207	196	56	0.669077	0.853043556937799
FAM212B_TSS23351,TSS35432	5.51255035867439e-09	-0.393135288659101	1.36802232735996e-06	209	209	207	3.45787	3.45379391866029	0.000722802594265998	0.234262074594403	0.0206893136752891	209	209	207	3.45787	3.45379391866029
MTMR11_TSS16108,TSS8568	0.000544688105746394	-0.239441876653887	0.0118290337051687	208	208	207	4.68875	5.2355034784689	0.000608970905205443	0.237412844451607	0.0181001143514045	208	208	207	4.68875	5.2355034784689
ADAMTSL4_TSS21358	0.00365540277534739	-0.202132552668176	0.0421047292618113	209	209	209	119.663	120.407426794258	0.000657560789841173	0.236006537126539	0.0190487361952485	209	209	209	119.663	120.407426794258
F11R_TSS20484	1.82855449789302e-08	-0.380484024645606	3.70949853338441e-06	209	209	209	29.3644	29.6993894736842	0.000169823219461114	0.259687162802597	0.00671958407530267	209	209	209	29.3644	29.6993894736842
GPA33_TSS1559	0.00419930079349859	-0.19915675761222	0.0460087130658455	209	209	209	40.1054	42.9696586602871	0.000167179774338361	0.259948713537001	0.00665620282221628	209	209	209	40.1054	42.9696586602871
CD55_TSS22160	0.000486238136370921	-0.241489092619865	0.0108642771012038	209	209	209	35.3043	35.4187440191388	0.00058056805361595	0.238283681263214	0.0175389864468411	209	209	209	35.3043	35.4187440191388
DISP1_TSS21734	0.00204647576786139	-0.214159597352345	0.0289299166945059	209	209	208	5.25701	5.158013215311	0.00103925157515505	0.22744388950177	0.0268869529479132	209	209	208	5.25701	5.158013215311
DEGS1_TSS17323	0.000721836407039358	-0.234286830447604	0.0142263350399261	209	209	209	64.6964	66.7126947368421	4.25046467794066e-05	0.281804605026596	0.00234656863137886	209	209	209	64.6964	66.7126947368421
FAM89A_TSS4251	0.00119170466436417	-0.224821327822835	0.0200007635757141	209	209	209	52.2642	52.008809569378	0.000433454139982734	0.243543996918108	0.0139189965729883	209	209	209	52.2642	52.008809569378
KLHL29_TSS7290	0.00246285718437373	-0.210389843259466	0.0328051550233335	209	209	209	4.47723	4.51937755980861	0.000110271796517513	0.266789119378275	0.00491055294561697	209	209	209	4.47723	4.51937755980861
EPAS1_TSS12443	0.0042591495210028	-0.198850862681785	0.0464652671388615	209	209	209	38.8586	39.0580277511962	1.10439000188787e-05	0.301667911612546	0.000845189007133406	209	209	209	38.8586	39.0580277511962
TGOLN2_TSS36240	5.27783866580185e-06	-0.311960243034017	0.000354086178836118	209	209	209	124.366	122.711927272727	0.00152007396610095	0.220083958850596	0.0354512870871408	209	209	209	124.366	122.711927272727
CASP10_TSS25845,TSS2692	2.54983627838742e-05	-0.289511140532777	0.00122974273795964	209	209	209	14.2054	13.7720537799043	0.000410820198393447	0.244497106874885	0.0133092206478262	209	209	209	14.2054	13.7720537799043
PPARG_TSS15582,TSS20814,TSS32543	3.81326535238248e-05	-0.283460511081988	0.00167475731395616	209	209	209	197.102	196.325755023923	0.00250995705815792	0.210000658634864	0.049966520532379	209	209	209	197.102	196.325755023923
SLC6A6_TSS1526	4.10160588129054e-05	-0.282349624109998	0.00175907966328301	209	209	209	45.6833	46.3137755980861	4.30775646399849e-05	0.281599620220662	0.00236796909626377	209	209	209	45.6833	46.3137755980861
LINC00693_TSS36077	0.00134145015743779	-0.22252942172684	0.0217568575344336	157	134	41	0.19623	0.589472274162679	0.000235817519233207	0.254150206297138	0.00868549223216137	157	134	41	0.19623	0.589472274162679
STAC_TSS21713	2.88574851132621e-05	-0.287665263656041	0.00134188048506902	209	209	209	62.5661	62.5404698564593	7.8198378064567e-06	0.306528282640334	0.000642710206337105	209	209	209	62.5661	62.5404698564593
ABHD5_TSS33615	0.00019512367010774	-0.257359903979584	0.00566124419026554	209	209	209	19.7859	19.8908866028708	0.00180460928615288	0.2166842788719	0.0400066070800988	209	209	209	19.7859	19.8908866028708
VGLL3_TSS35944	0.000111028004462734	-0.266678250827356	0.00362913915865977	207	202	156	1.79808	2.56977439665072	0.000196473388681987	0.257243819552132	0.00746219359301673	207	202	156	1.79808	2.56977439665072
FILIP1L_TSS33142,TSS7846	0.000227351324987583	-0.25477295474563	0.00637206931799079	209	209	208	6.16837	6.336284215311	0.0021252235438239	0.213396155250174	0.0444540417378746	209	209	208	6.16837	6.336284215311
ARHGAP24_TSS15343,TSS18263,TSS19521,TSS33986	1.00189769010787e-05	-0.303048010909272	0.000601162132789842	209	209	208	5.7682	5.99021101913876	8.23344654146013e-05	0.2714842475523	0.00397560910346898	209	209	208	5.7682	5.99021101913876
WWC2_TSS14282	5.74950616657013e-05	-0.27714011581458	0.00226097118651845	209	209	200	2.07524	2.06352513397129	0.000392952574731093	0.245284539890386	0.0128772573880788	209	209	200	2.07524	2.06352513397129
FAXDC2_TSS30820	5.7325234745842e-05	-0.277186199120772	0.00226097118651845	209	207	206	4.9534	4.94847545167464	0.000234084301309803	0.254275982262264	0.00864657344765879	209	207	206	4.9534	4.94847545167464
MYO6_TSS30342,TSS570	1.85578617751169e-05	-0.294192335569399	0.000960237864035959	209	209	208	8.27471	8.22152003827751	0.00117723508024645	0.225056583462587	0.0294017498486262	209	209	208	8.27471	8.22152003827751
RSPH3_TSS27974	0.00225659891175911	-0.212178015186094	0.0309115352537378	209	208	208	8.89364	8.83784641483254	0.000827129738227376	0.231753451017013	0.0230810734048362	209	208	208	8.89364	8.83784641483254
GTF2IP1_TSS9641	0.00243833848785461	-0.210595123441594	0.0325804339195252	209	209	206	2.98047	3.04055744019139	5.16569458389788e-06	0.31225391266188	0.000461679437968579	209	209	206	2.98047	3.04055744019139
ST7_TSS18272	2.59618187849252e-05	-0.289243267777156	0.00124271544936606	209	209	209	13.9575	13.9909539712919	7.46400172012391e-06	0.30717740119246	0.000623302742125913	209	209	209	13.9575	13.9909539712919
RHEB_TSS26252	0.000666814933696163	-0.23574962630324	0.0134734611211493	209	209	209	24.5738	24.2373332057416	0.00248555451104624	0.210201460077412	0.0498300069465514	209	209	209	24.5738	24.2373332057416
ANGPT2_TSS28146	0.00132264206469543	-0.222804018774004	0.0216198425883711	206	200	103	0.981813	1.22658732727273	0.000154797598432303	0.261227701628777	0.00632073708231328	206	200	103	0.981813	1.22658732727273
DLC1_TSS1282,TSS23526,TSS34483	0.000289792008501771	-0.250610096086297	0.00744537191445921	209	209	207	2.85427	3.0793188277512	7.17166338147043e-05	0.273673541057859	0.00361567825825968	209	209	207	2.85427	3.0793188277512
HGSNAT_TSS14881	0.000164238602854235	-0.260244300008048	0.00493603911031967	209	209	209	10.932	11.0267942105263	1.25483342602322e-06	0.330949363635788	0.000154205755781633	209	209	209	10.932	11.0267942105263
SLC45A4_TSS12087,TSS26027	0.000129249576640023	-0.26420048202143	0.0041040353149014	209	209	209	6.09047	6.16504578947368	0.00141602507671094	0.22147422994935	0.033795534067048	209	209	209	6.09047	6.16504578947368
GLIS3_TSS11313,TSS1866	0.00273719355451116	-0.208211413357233	0.035035255106089	204	174	9	0.29007	0.366548807272727	0.000758715777488315	0.233362882310957	0.0215723403652712	204	174	9	0.29007	0.366548807272727
CCDC171_TSS10022	4.11477703002379e-06	-0.31534501236602	0.000287371081050377	206	201	11	0.530604	0.557701691866029	8.78674073934798e-05	0.270446452919088	0.00413624088468644	206	201	11	0.530604	0.557701691866029
TJP2_TSS24232,TSS26548,TSS30285,TSS35050	0.000620762133704031	-0.237062302297797	0.0129036919594969	209	209	208	8.95091	9.04081710047847	0.000165814843248282	0.260085279551538	0.00663285322107877	209	209	208	8.95091	9.04081710047847
