tracking_ID	pvalue (Neutrophil)	corr_coef (Neutrophil)	fdr (Neutrophil)	fpkm>0_num (Neutrophil)	fpkm>0.1_num (Neutrophil)	fpkm>1_num (Neutrophil)	fpkm_median (Neutrophil)	fpkm_mean (Neutrophil)	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)
FBXO42_TSS7107	7.38927045271542e-06	-0.307317451881525	0.0188877142041859	209	209	209	5.89841	5.85405971291866	2.67076199549059e-05	-0.28882153570231	0.00126503964965629	209	209	209	5.89841	5.85405971291866
FAM212B_TSS23351,TSS35432	6.63641723715925e-06	-0.30880856528857	0.0188481623332253	209	209	207	3.45787	3.45379391866029	5.51255035867439e-09	-0.393135288659101	1.36802232735996e-06	209	209	207	3.45787	3.45379391866029
MR1_TSS21866	1.29264778732229e-08	-0.384198792263967	0.00033041370091745	209	209	209	24.1616	23.8137540669856	0.000290987306542966	-0.250538876431274	0.00744537191445921	209	209	209	24.1616	23.8137540669856
ZNF589_TSS14192	4.89271668651411e-05	-0.279642124424047	0.0498919062911351	209	209	209	24.3791	25.3879542583732	3.00109244141086e-07	-0.348671182271145	3.29790279021186e-05	209	209	209	24.3791	25.3879542583732
SMIM14_TSS7063	6.92223384595256e-07	-0.338452104082745	0.00589797397787978	209	209	209	25.6626	25.8579083253589	3.49278652367324e-06	-0.317550985953386	0.000251490468539751	209	209	209	25.6626	25.8579083253589
MYC_TSS15543	6.4962890334017e-07	0.339241549373675	0.00589797397787978	207	207	206	4.25449	4.91106254066986	7.20394416541025e-05	0.273602619109937	0.00262758985668749	207	207	206	4.25449	4.91106254066986
ALAD_TSS28392	3.15395303923061e-05	-0.286331708544696	0.0447878853532076	209	209	209	21.9767	22.2116277511962	8.75472058382587e-05	-0.270504817954861	0.00304461786181188	209	209	209	21.9767	22.2116277511962
TOR1B_TSS7445	9.57531108673737e-06	-0.303687422373962	0.0203962105573412	209	209	209	32.2064	32.5919023923445	6.52151652896821e-05	-0.275169705358921	0.00244422997062986	209	209	209	32.2064	32.5919023923445
ASB13_TSS7638	8.83275699416871e-06	-0.304823265610151	0.0203962105573412	209	209	209	14.0488	14.3027149282297	0.00374563262163768	-0.201612369893737	0.0427993363619494	209	209	209	14.0488	14.3027149282297
TOLLIP_TSS28339	3.72036462143022e-05	-0.283835333750709	0.045879887679391	209	209	209	15.2399	15.5526401913876	0.000313327268254299	-0.249255526177021	0.00783655411335434	209	209	209	15.2399	15.5526401913876
DTX4_TSS18237,TSS3564	3.34827401184848e-05	-0.285430766735645	0.0450448589562416	209	209	209	27.5583	28.3832930143541	1.23064694589615e-12	-0.469536522701854	2.62138054867096e-09	209	209	209	27.5583	28.3832930143541
AMOTL1_TSS25215	1.6485795891423e-05	-0.295915978574913	0.0247878487518037	209	209	208	5.12344	5.25375768421053	2.17766711875128e-13	-0.483161820232586	1.13760554235486e-09	209	209	208	5.12344	5.25375768421053
DIXDC1_TSS13570,TSS18853,TSS26574	1.19353242398449e-05	-0.300562941590021	0.0209952200233946	208	208	207	4.23067	4.23451018181818	9.22765063663599e-07	-0.334851078036965	8.36411269230683e-05	208	208	207	4.23067	4.23451018181818
PEX5_TSS19604,TSS26488,TSS27947,TSS31394	2.97917237820357e-06	-0.319675309570052	0.0152301250318523	209	209	209	5.31367	5.25540129186603	8.65657900062367e-05	-0.270684961788157	0.00301870144386005	209	209	209	5.31367	5.25540129186603
GGA2_TSS21779	5.05187425663711e-06	-0.312558234032315	0.0184472796962716	209	209	209	82.3653	82.7998626794258	9.37087402114102e-09	-0.38760319722034	2.08286009438596e-06	209	209	209	82.3653	82.7998626794258
AMFR_TSS30832	5.17757111341209e-05	-0.278767444886352	0.0498919062911351	209	209	209	30.0196	29.8232066985646	5.69818842909287e-05	-0.27727976219698	0.00225118074862508	209	209	209	30.0196	29.8232066985646
ALDH3A2_TSS22879	3.99104773766393e-05	-0.282766605207988	0.0463705323738308	209	209	209	47.798	49.3964373205742	1.45288200385915e-05	-0.297743543073822	0.000802097557249326	209	209	209	47.798	49.3964373205742
PLEKHG2_TSS293	1.15069459010918e-05	0.301083809971934	0.0209952200233946	208	206	48	0.665881	0.854150162679426	0.00179007038451514	0.216845695517802	0.0265784901857584	208	206	48	0.665881	0.854150162679426
MGAT3_TSS10509,TSS3034	3.78366755702311e-06	-0.316476419017266	0.0161190544041779	209	209	209	26.3585	27.1097799521531	9.27111559568294e-08	-0.362449392590605	1.26052651990027e-05	209	209	209	26.3585	27.1097799521531
