tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
LPAR3_TSS31752	0.00018460626715033	0.258291021120048	0.00714957696155999	204	201	146	1.77051	2.30095476937799	0.000887627209202009	-0.231544492440546	0.047866327203402	204	201	146	1.77051	2.30095476937799
FAM212B_TSS23351,TSS35432	0.000722802594265998	0.234262074594403	0.0206893136752891	209	209	207	3.45787	3.45379391866029	0.000793048971398384	-0.233663995532364	0.0453616396416431	209	209	207	3.45787	3.45379391866029
CD5L_TSS11670	4.17252616859732e-05	0.28208767928241	0.00232361528094806	209	209	207	6.71135	7.14850135406699	8.90608117521562e-06	-0.306149862650988	0.00416391766825873	209	209	207	6.71135	7.14850135406699
GPA33_TSS1559	0.000167179774338361	0.259948713537001	0.00665620282221628	209	209	209	40.1054	42.9696586602871	1.72417996800978e-05	-0.296666978005988	0.00595564380571595	209	209	209	40.1054	42.9696586602871
QSOX1_TSS3954	0.000129173917906091	0.264210075850547	0.0055214289558488	209	209	209	122.682	127.563468899522	5.17318394729905e-05	-0.280111738306365	0.00958840615995742	209	209	209	122.682	127.563468899522
CD55_TSS22160	0.00058056805361595	0.238283681263214	0.0175389864468411	209	209	209	35.3043	35.4187440191388	0.000946878272985256	-0.230320249639145	0.049698471326029	209	209	209	35.3043	35.4187440191388
FAM89A_TSS4251	0.000433454139982734	0.243543996918108	0.0139189965729883	209	209	209	52.2642	52.008809569378	3.26017838089872e-05	-0.287194756976632	0.00789241781549392	209	209	209	52.2642	52.008809569378
SLC6A6_TSS1526	4.30775646399849e-05	0.281599620220662	0.00236796909626377	209	209	209	45.6833	46.3137755980861	0.000424158632038019	-0.245106150333554	0.0321718658561537	209	209	209	45.6833	46.3137755980861
MGLL_TSS14603,TSS20093	0.0024924804264585	0.210144287444464	0.0498515588268434	209	209	209	26.178	26.8005241626794	7.28418484899596e-08	-0.366888727490807	0.000465477622312964	209	209	209	26.178	26.8005241626794
PCOLCE2_TSS16578	0.000197219902072958	0.25717993367967	0.00746835246946203	209	209	209	76.0527	78.2344822966507	4.57491868691608e-05	-0.282015837996394	0.00892667912643222	209	209	209	76.0527	78.2344822966507
BPHL_TSS22360	1.70118023941193e-05	0.2954598003471	0.00115956981598955	208	208	208	8.10704	8.34340119617225	0.000435343108105001	-0.244640898816669	0.0325410897446426	208	208	208	8.10704	8.34340119617225
BRPF3_TSS2944	3.4993799412642e-05	0.284763637395257	0.0020329011517876	209	209	209	5.00754	5.0799895215311	7.38790637853198e-06	-0.308773785442613	0.00401792074343949	209	209	209	5.00754	5.0799895215311
TREM1_TSS9189	2.23401831194923e-05	0.291469321789344	0.00144789610779531	209	209	209	195.256	196.030401913876	3.37212605456888e-05	-0.286683219533621	0.00789902562535361	209	209	209	195.256	196.030401913876
TRAF3IP2_TSS10177,TSS1329,TSS18482	0.00225914059150736	0.21215509077887	0.046606854446747	209	209	209	10.4207	10.4536591866029	2.72507758214475e-05	-0.289894788641683	0.00749923253630277	209	209	209	10.4207	10.4536591866029
POR_TSS20694	3.01307498870536e-05	0.287018221596174	0.00181216964203054	209	209	209	97.8255	99.6826148325359	1.4120036950949e-05	-0.2995694143246	0.00549724221793166	209	209	209	97.8255	99.6826148325359
MSRA_TSS15618,TSS19089	0.00138477931698284	0.221909996968768	0.0332787851623893	209	209	209	18.8639	19.0915292822967	0.000808769055898901	-0.233296103681106	0.0457603554559854	209	209	209	18.8639	19.0915292822967
UBAP1_TSS30076	3.86924090217025e-05	0.283238801440907	0.00219294161198168	209	209	209	17.6551	17.5926411483254	0.000483403892840698	-0.242759941997977	0.0346080625408667	209	209	209	17.6551	17.5926411483254
CORO2A_TSS20932,TSS22985	0.000913527440895034	0.22988767094667	0.0247432033266017	209	209	209	22.4344	22.3545371291866	0.000258189746478372	-0.253815052226801	0.0244429189249395	209	209	209	22.4344	22.3545371291866
LINC00094_TSS29449	0.00135518431644179	0.222331122216335	0.03274089443532	209	208	204	2.13779	2.22096072535885	0.000272105553952219	-0.252908490094415	0.0251093504136198	209	208	204	2.13779	2.22096072535885
PDLIM1_TSS23538	8.44134984048548e-05	0.27108682803059	0.0040288706149209	209	209	209	160.686	165.61306937799	6.44257010925205e-06	-0.31068027922278	0.00382973336192073	209	209	209	160.686	165.61306937799
DENND5A_TSS12877	0.000966118151401493	0.228829977237137	0.0257776054989286	209	209	209	60.6601	60.1269454545455	0.000230972319773599	-0.255727930247337	0.0225495233926763	209	209	209	60.6601	60.1269454545455
PELI3_TSS14501,TSS28537	0.000173197501421179	0.259358768776763	0.00682141962068839	209	209	209	9.90599	10.3773895215311	2.38324891496026e-08	-0.379351562720977	0.000304591127576496	209	209	209	9.90599	10.3773895215311
LAMTOR1_TSS19163	0.000656834579918874	0.236026838908604	0.0190487361952485	209	209	209	125.068	128.888501913876	0.000523408458606205	-0.24132197839961	0.0357723091188054	209	209	209	125.068	128.888501913876
DGAT2_TSS13748	9.67773208203812e-05	0.26889753452503	0.00444914585879454	208	207	203	4.8078	5.35869074832536	0.000419294576651015	-0.245312042085451	0.0319928020112734	208	207	203	4.8078	5.35869074832536
PVRL1_TSS35475	0.000383680138072772	0.245706362365184	0.0126882573129751	209	208	208	3.58714	3.63710708277512	0.000481439361505837	-0.24283336076222	0.0345676166276705	209	208	208	3.58714	3.63710708277512
NFE2_TSS25490,TSS3434	0.00237660502750217	0.211120405567962	0.0482896670174746	208	207	205	7.90111	8.5213067291866	3.55818453484678e-06	-0.318797840851857	0.00320545937275026	208	207	205	7.90111	8.5213067291866
SELPLG_TSS11918,TSS24366	0.000116373661260114	0.265914099203282	0.00509353964977702	209	209	209	141.883	148.833581818182	0.000107520891406043	-0.268478854324155	0.0151571870013963	209	209	209	141.883	148.833581818182
IRS2_TSS5397	3.86327122678992e-08	0.372310974664547	1.89902068899956e-05	209	209	209	14.0603	14.2529357894737	0.000341480782672883	-0.248947866975549	0.0284974258771091	209	209	209	14.0603	14.2529357894737
CSPG4_TSS34313	0.000146717528909109	0.262114908021182	0.00605855695710137	209	208	183	2.69232	3.15999306555024	1.59106125672876e-09	-0.407547560310294	4.06691167832438e-05	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000906979825150026	0.230023253436531	0.024610733875435	206	205	180	2.3205	2.74379872583732	0.000511282383673432	-0.241746790627922	0.0356937100382748	206	205	180	2.3205	2.74379872583732
ADCY9_TSS3133	0.000111968486666028	0.266541347916156	0.00496879598553878	207	207	205	2.88791	2.93499788995215	1.79172944207628e-06	-0.327893106878954	0.00237797692362631	207	207	205	2.88791	2.93499788995215
CES1_TSS31413	0.0016427172017763	0.218552847851167	0.0373904669586857	209	209	209	233.79	241.076084688995	0.000484710550824705	-0.242711262165164	0.0346080625408667	209	209	209	233.79	241.076084688995
BCAR1_TSS11528,TSS12694,TSS13521,TSS29281,TSS29637,TSS6650,TSS7009	7.9478027313371e-06	0.306301683790237	0.000651133928255473	209	209	209	9.10515	9.67724	2.82093975813743e-07	-0.35104064880502	0.000655509465070461	209	209	209	9.10515	9.67724
SPIRE2_TSS12543	7.67366764027354e-05	0.272603043573961	0.00378661425778054	207	207	206	5.59326	5.68016766028708	7.72343194611591e-05	-0.273804207015633	0.012473406035458	207	207	206	5.59326	5.68016766028708
RARA_TSS19901,TSS20305,TSS8154	0.00081728748933097	0.231977260958187	0.0229567972689988	209	209	209	47.1502	47.252980861244	0.000599996937337659	-0.238832038111002	0.0385339741590148	209	209	209	47.1502	47.252980861244
AOC3_TSS29860,TSS5849	0.00102016966944152	0.227796686480692	0.0268266628909836	209	209	209	52.3673	58.1172094736842	5.97382833938374e-06	-0.311726496613236	0.00382362322035123	209	209	209	52.3673	58.1172094736842
VAT1_TSS11282	2.97267865490021e-05	0.287220666157547	0.00179209054476189	209	209	209	155.438	158.114815789474	7.76925884441189e-05	-0.273709941276435	0.012473406035458	209	209	209	155.438	158.114815789474
CDC42EP4_TSS27099	0.00137855712775424	0.221997847599883	0.03318013064268	209	209	209	6.66922	7.1184123923445	1.13091955002732e-07	-0.361833207148672	0.000566103232756858	209	209	209	6.66922	7.1184123923445
MCEMP1_TSS14115	7.90729332286135e-05	0.272127091059346	0.00387943041507982	209	209	209	497.921	493.479799043062	0.000259243598542528	-0.253744825582743	0.0244473353316532	209	209	209	497.921	493.479799043062
OCEL1_TSS3777	0.00011311408046678	0.266376034674281	0.00499362523456193	206	206	206	8.85152	9.14657693779904	0.000214293786755046	-0.257006743060298	0.0216504485503784	206	206	206	8.85152	9.14657693779904
SPINT2_TSS17599	0.00204195408957326	0.214204241610984	0.0433868565948314	209	209	209	47.3057	49.2794631578947	0.000670083600505424	-0.236798657553502	0.041322227724038	209	209	209	47.3057	49.2794631578947
RASGRP4_TSS24505	8.43397238381547e-05	0.271100772575211	0.0040288706149209	209	209	209	12.5943	12.9323371291866	0.000132032201829485	-0.265116753739874	0.0163828888881721	209	209	209	12.5943	12.9323371291866
