tracking_ID	pvalue (FEV1)	corr_coef (FEV1)	fdr (FEV1)	fpkm>0_num (FEV1)	fpkm>0.1_num (FEV1)	fpkm>1_num (FEV1)	fpkm_median (FEV1)	fpkm_mean (FEV1)	pvalue (FVC)	corr_coef (FVC)	fdr (FVC)	fpkm>0_num (FVC)	fpkm>0.1_num (FVC)	fpkm>1_num (FVC)	fpkm_median (FVC)	fpkm_mean (FVC)
LINC00504_TSS26440	5.65214043489192e-05	-0.277406078650465	0.0267576514958476	201	174	2	0.216812	0.262763611961722	5.092021030813e-06	-0.31245015640197	0.0041991105042485	201	174	2	0.216812	0.262763611961722
RSPO3_TSS19352	1.12856876244523e-07	-0.360187939557134	0.000168514711238386	204	202	136	1.41729	1.73129176746411	1.84869324568291e-07	-0.354433465519953	0.000162965497009096	204	202	136	1.41729	1.73129176746411
ENPP3_TSS24536	0.000121460433507365	-0.26521687354056	0.0431252016969761	209	208	183	2.49683	3.39083981148325	4.55948001261704e-05	-0.280728355283379	0.0303246125425051	209	208	183	2.49683	3.39083981148325
GPNMB_TSS13607	8.24836799078194e-06	-0.305782772686191	0.00658941497863592	209	209	209	461.751	467.340574162679	6.78200761269628e-05	-0.274554119532296	0.0394034642297654	209	209	209	461.751	467.340574162679
C9orf40_TSS29173	3.10854655547288e-05	-0.286549764674855	0.0202494724651391	206	205	110	1.03766	1.02721186937799	9.10507499407315e-05	-0.269876812769586	0.0493025562853145	206	205	110	1.03766	1.02721186937799
ARSD_TSS17031	2.70977333584536e-08	-0.376214226241968	7.35482710789676e-05	209	209	209	7.77064	8.02955306220096	6.89643555525575e-11	-0.435316479027495	9.79447102969767e-08	209	209	209	7.77064	8.02955306220096
PNPLA4_TSS14006,TSS32314	1.06592647267307e-07	-0.360846516328161	0.000168514711238386	207	207	205	2.72757	2.81114381818182	6.48910745604111e-11	-0.435863370811538	9.75809076507264e-08	207	207	205	2.72757	2.81114381818182
ZRSR2_TSS12277	0.000114667649150269	-0.26615433588729	0.0414853362847957	209	209	209	6.74367	7.15188526315789	1.78161097047893e-07	-0.354868389003896	0.000162661081604726	209	209	209	6.74367	7.15188526315789
SYAP1_TSS1915	8.89552771128703e-05	-0.270249639452502	0.03610964484353	209	209	209	10.2642	10.0367499043062	1.03870176867955e-07	-0.361144407039346	0.000102128353902015	209	209	209	10.2642	10.0367499043062
EIF1AX_TSS30470	1.36040570348743e-06	-0.329915008588731	0.00144958986699069	209	209	208	7.08966	7.40206279425837	4.32367401044731e-08	-0.371060947355485	4.421216096123e-05	209	209	208	7.08966	7.40206279425837
ZFX_TSS30363,TSS30369,TSS7312,TSS9608	6.2613377207391e-07	-0.339698465932359	0.000762213511871306	209	209	204	2.93473	3.12349796650718	2.06361693454494e-08	-0.379177772811609	2.293665361509e-05	209	209	204	2.93473	3.12349796650718
FUNDC1_TSS22283	3.39647954395296e-05	-0.285214909470481	0.0202494724651391	208	207	207	5.26221	5.44799060574163	5.96794790838097e-05	-0.276558505102684	0.0381411550824627	208	207	207	5.26221	5.44799060574163
KDM6A_TSS30194	3.95431703906687e-09	-0.396547965627405	2.81661699582058e-05	209	209	209	4.38939	4.79630124401914	5.86902704273486e-12	-0.456706898060314	1.15412159477288e-08	209	209	209	4.38939	4.79630124401914
DDX3X_TSS19025,TSS23823	2.19813497996224e-09	-0.40248685227716	2.80965613138773e-05	209	209	209	53.3757	55.8813286602871	1.46526642461797e-10	-0.428464468658751	1.87290354394669e-07	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	5.8742763688377e-06	-0.310491568822296	0.0050056667030989	209	209	209	13.4051	13.2426683253589	8.28881480989374e-09	-0.388891636260773	9.63160280909653e-06	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	1.40039820991499e-06	-0.32954308816291	0.00144958986699069	209	209	209	8.94447	9.13164301435407	2.88265178473959e-08	-0.375537250530919	3.07050459271179e-05	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	9.3932195933423e-09	-0.387578132122778	4.00213776140338e-05	209	209	209	498.094	502.179277511962	2.07640745764673e-09	-0.403056869816282	2.52768001177528e-06	209	209	209	498.094	502.179277511962
TSIX_TSS16481	3.48527925389658e-05	-0.284824730832805	0.0202494724651391	187	0	0	0.00257387	0.00722574003572445	1.76167401253236e-07	-0.355000680578137	0.000162661081604726	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	5.50895203375954e-09	-0.39314203430739	2.81661699582058e-05	188	122	117	11.0616	10.4128018795971	1.03626303986737e-12	-0.470916352784853	2.40827530465177e-09	188	122	117	11.0616	10.4128018795971
MOSPD1_TSS19324	2.91205415302845e-06	-0.319978325601506	0.00275717601363034	209	209	208	6.47087	6.59020810047847	2.15967606719662e-05	-0.29196821534953	0.0167302906005498	209	209	208	6.47087	6.59020810047847
