tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Eosinophil)	corr_coef (Eosinophil)	fdr (Eosinophil)	fpkm>0_num (Eosinophil)	fpkm>0.1_num (Eosinophil)	fpkm>1_num (Eosinophil)	fpkm_median (Eosinophil)	fpkm_mean (Eosinophil)
CD244_TSS25286	0.000116084822103573	0.265954540056286	0.00375125681136462	203	200	90	0.839825	1.19234838373206	0.000218923550488018	0.25541471632877	0.0490868848598616	203	200	90	0.839825	1.19234838373206
F11R_TSS20484	1.82855449789302e-08	-0.380484024645606	3.70949853338441e-06	209	209	209	29.3644	29.6993894736842	2.3372160639208e-05	-0.290802176239963	0.0192714773580257	209	209	209	29.3644	29.6993894736842
MGST3_TSS12589	0.00182560209115065	-0.216453289183259	0.0267849655160011	209	209	209	113.607	114.128437799043	6.60280916465346e-06	-0.308878816185384	0.0120553146469791	209	209	209	113.607	114.128437799043
MR1_TSS21866	0.000290987306542966	-0.250538876431274	0.00744537191445921	209	209	209	24.1616	23.8137540669856	4.08295992562165e-05	-0.282419201262854	0.0228326052815836	209	209	209	24.1616	23.8137540669856
CDK18_TSS23545	0.00439143301047869	-0.198188240597298	0.0473027472317091	209	209	209	14.2335	14.5329131100478	0.000184217200251698	-0.258326406813695	0.0446050345747593	209	209	209	14.2335	14.5329131100478
FAM89A_TSS4251	0.00119170466436417	-0.224821327822835	0.0200007635757141	209	209	209	52.2642	52.008809569378	6.69807587216962e-07	-0.338861574987766	0.00559370712612746	209	209	209	52.2642	52.008809569378
CHRM3_TSS21942	0.0013515829772364	-0.222382941223039	0.0218795519196577	203	201	120	1.13613	1.20959538564593	1.96645006495714e-05	-0.293345031279872	0.0179515821822748	203	201	120	1.13613	1.20959538564593
GAREML_TSS15481,TSS18211	0.00176519831329489	0.217124629194678	0.0263495726057689	165	47	1	0.0332175	0.0707576901913876	7.28404222865414e-05	0.273427921504462	0.0298620207536725	165	47	1	0.0332175	0.0707576901913876
GPATCH11_TSS19852	8.93292487675201e-06	-0.304664872995905	0.000552868021246145	209	209	209	12.1614	12.3195928708134	0.000220914030378513	-0.255261093982601	0.0491024654826537	209	209	209	12.1614	12.3195928708134
B3GNT7_TSS13820	3.67391094937317e-07	-0.346230982307809	3.94574948642552e-05	209	209	209	34.3632	34.2581296650718	8.43935429133915e-06	-0.305462287009604	0.0143812223360613	209	209	209	34.3632	34.2581296650718
CTNNB1_TSS1511	0.00064523240662584	-0.236354028329377	0.0132433198163579	209	209	209	121.385	122.670293779904	9.40207222779498e-05	-0.269361946811712	0.0320127596052776	209	209	209	121.385	122.670293779904
SMIM14_TSS7063	3.49278652367324e-06	-0.317550985953386	0.000251490468539751	209	209	209	25.6626	25.8579083253589	9.78532609003451e-05	-0.26871962463128	0.0324834701542042	209	209	209	25.6626	25.8579083253589
ADTRP_TSS32707	1.64039570344325e-05	-0.295988188047059	0.000879038879993984	209	209	209	33.8326	35.1779374641148	0.00017727718820069	-0.258969606794553	0.0446050345747593	209	209	209	33.8326	35.1779374641148
ANKS1A_TSS5704	0.000370388182885912	-0.246327839770013	0.00887300125843185	209	209	209	10.8141	10.7686162200957	5.19009663097617e-05	-0.278730031584125	0.0265328119968764	209	209	209	10.8141	10.7686162200957
GTPBP2_TSS13316,TSS30211	0.000716570758708047	-0.234422287438532	0.0141657116499121	209	209	209	30.3374	30.2963626794258	3.47741808103219e-05	-0.28485889182469	0.0226934782675564	209	209	209	30.3374	30.2963626794258
THEMIS_TSS11521,TSS3012	5.06532865526606e-08	0.369294288624428	8.04602393734364e-06	207	201	112	1.08552	2.03631658038277	0.000209107396927907	0.256191888236738	0.0485908561170385	207	201	112	1.08552	2.03631658038277
RSPH3_TSS27974	0.00225659891175911	-0.212178015186094	0.0309115352537378	209	208	208	8.89364	8.83784641483254	0.000119073669000534	-0.265540545571811	0.0367185185270669	209	208	208	8.89364	8.83784641483254
TOR1B_TSS7445	6.52151652896821e-05	-0.275169705358921	0.00244422997062986	209	209	209	32.2064	32.5919023923445	0.000218575359107715	-0.255441722911628	0.0490868848598616	209	209	209	32.2064	32.5919023923445
AKR1C3_TSS27896,TSS3470	0.00364487534351258	-0.202193997076432	0.0420427159997857	209	209	209	42.8864	47.3417968899521	5.34931234280567e-05	-0.278261719815585	0.0268105436851874	209	209	209	42.8864	47.3417968899521
ASB13_TSS7638	0.00374563262163768	-0.201612369893737	0.0427993363619494	209	209	209	14.0488	14.3027149282297	3.72882941683568e-05	-0.283800818140166	0.0226934782675564	209	209	209	14.0488	14.3027149282297
STAMBPL1_TSS19314	4.84860312215667e-06	0.313118303695564	0.000330493718414524	205	198	84	0.840054	1.05705898181818	1.36465523621658e-05	0.298645009342546	0.0170390979014867	205	198	84	0.840054	1.05705898181818
STIM1_TSS1775	4.93994141652566e-05	-0.279493855589926	0.00202355516903546	209	209	209	34.1506	34.693885645933	1.26053949929215e-05	-0.29978268594249	0.0170390979014867	209	209	209	34.1506	34.693885645933
DENND5A_TSS12877	0.000498226302006085	-0.241051301211042	0.011056931650529	209	209	209	60.6601	60.1269454545455	2.8521039318725e-05	-0.287840735844712	0.0202717872322641	209	209	209	60.6601	60.1269454545455
DTX4_TSS18237,TSS3564	1.23064694589615e-12	-0.469536522701854	2.62138054867096e-09	209	209	209	27.5583	28.3832930143541	2.78088925484016e-05	-0.288218688703554	0.0202717872322641	209	209	209	27.5583	28.3832930143541
NAA40_TSS14681,TSS22489	0.00258210090625465	-0.209417206206053	0.033815719290445	209	209	209	6.37352	6.57789325358852	7.00437858446039e-05	-0.274045942297542	0.0298620207536725	209	209	209	6.37352	6.57789325358852
DGAT2_TSS13748	2.24792182831251e-05	-0.291377762732135	0.00111724285823557	208	207	203	4.8078	5.35869074832536	0.000135149039736097	-0.263468120255843	0.0388151079179144	208	207	203	4.8078	5.35869074832536
ARF3_TSS24238	0.00345612900030617	-0.203323736310045	0.0407294206439953	209	209	209	62.0491	62.3465081339713	1.61450994294305e-05	-0.296218852815922	0.0172450646638038	209	209	209	62.0491	62.3465081339713
SLC35E3_TSS31935	0.00413193517961239	-0.199505804215239	0.0455046941516899	209	209	209	8.32421	8.6307071291866	6.68593467049643e-05	-0.274778529586918	0.0298620207536725	209	209	209	8.32421	8.6307071291866
IRS2_TSS5397	0.00131891426551759	-0.22285886874393	0.0216038897317157	209	209	209	14.0603	14.2529357894737	0.000132371242203873	-0.263809152269863	0.0388151079179144	209	209	209	14.0603	14.2529357894737
VASH1_TSS20027	4.34717301747286e-05	-0.281460076654113	0.00183061102964784	209	209	209	28.4878	29.098531722488	0.000116599466721795	-0.265882549187011	0.0367185185270669	209	209	209	28.4878	29.098531722488
CDC42BPB_TSS36222	0.0011894010851833	-0.224858604939893	0.0199752175679174	209	209	209	41.6882	41.7747555023923	5.5443442797364e-06	-0.311285472307115	0.0109218554455331	209	209	209	41.6882	41.7747555023923
ATP10A_TSS15275	1.09531493327456e-06	-0.332681787337206	9.62108075925461e-05	209	209	209	24.3462	24.9744558851675	1.39987111588443e-05	-0.298278751187098	0.0170390979014867	209	209	209	24.3462	24.9744558851675
GGA2_TSS21779	9.37087402114102e-09	-0.38760319722034	2.08286009438596e-06	209	209	209	82.3653	82.7998626794258	2.85506959963033e-05	-0.287825190225839	0.0202717872322641	209	209	209	82.3653	82.7998626794258
BRD7_TSS17637	0.00333962795309115	-0.204049199266611	0.0397968438736424	209	209	209	13.532	13.5457353110048	0.000196527454053985	-0.257239185093785	0.0460865894777422	209	209	209	13.532	13.5457353110048
AMFR_TSS30832	5.69818842909287e-05	-0.27727976219698	0.00225118074862508	209	209	209	30.0196	29.8232066985646	1.29910050767249e-05	-0.299351295018773	0.0170390979014867	209	209	209	30.0196	29.8232066985646
CXCL16_TSS6101	0.000174408801718347	-0.259242337214331	0.00517176726301933	209	209	209	315.966	320.235449760766	6.09850005209893e-05	-0.276220385737362	0.0292791021832597	209	209	209	315.966	320.235449760766
PLD6_TSS13802	0.000110441665410314	0.266764152834995	0.00361672206495301	204	198	34	0.497621	0.65708346076555	7.9992579898794e-05	0.271943348142559	0.0308559269731906	204	198	34	0.497621	0.65708346076555
C17orf51_TSS27818	8.67011203341752e-07	-0.335635659992204	7.97182495274048e-05	206	205	24	0.706387	0.719316548803828	1.78058018200503e-05	-0.29479586771885	0.017505157704704	206	205	24	0.706387	0.719316548803828
LIMD2_TSS20325	8.2658285348734e-08	0.36376137035325	1.17379357322166e-05	209	208	181	2.42225	3.99351186889952	8.71668340294645e-05	0.27057441128303	0.031829592066102	209	208	181	2.42225	3.99351186889952
PECAM1_TSS5941	0.000977173065807494	-0.228614394394531	0.0174424027479786	209	209	209	146.888	146.438445933014	0.000186147583751769	-0.258151518601377	0.0446050345747593	209	209	209	146.888	146.438445933014
RAB37_TSS25713,TSS35887,TSS6121	1.68925606724331e-07	0.355493606283279	2.09607156965079e-05	208	205	123	1.23438	1.73791939473684	9.51828852549234e-05	0.269164617971511	0.0320127596052776	208	205	123	1.23438	1.73791939473684
ZNF223_TSS4297	1.78522466193135e-05	-0.294757903418118	0.000937004673175099	208	208	202	2.67741	2.63668214354067	0.000176362998787045	-0.259056079299533	0.0446050345747593	208	208	202	2.67741	2.63668214354067
TMEM184B_TSS14082,TSS18407	5.68950735464837e-05	-0.277303502081988	0.00225118074862508	209	209	209	15.0297	15.2116119138756	0.000135061165091631	-0.263478807868818	0.0388151079179144	209	209	209	15.0297	15.2116119138756
CLCN4_TSS22955	0.00203060437645828	-0.214316699532544	0.0287767530762071	209	209	209	4.29771	4.40762688995215	0.000183545990530882	-0.258387617688006	0.0446050345747593	209	209	209	4.29771	4.40762688995215
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	4.29419722738863e-05	-0.28164790103844	0.00181911444462565	209	209	209	82.498	85.7244406698565	2.1569878007171e-05	-0.291986558077827	0.0183782550580433	209	209	209	82.498	85.7244406698565
