tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
CD84_TSS10719	0.000150415318145819	0.259852644066153	0.0324210814512653	209	209	209	10.9982	12.0963051674641	8.82274583916206e-05	NA	0.0188559572873759	-8.82274583916206e-05	203	203	203	10.9141	11.9698117241379
SLC40A1_TSS18329	8.43030857281967e-07	0.333669646342175	0.00165817684774615	208	204	159	2.12227	3.96547404583732	0.000287442494585743	NA	0.0371076646672028	-0.000287442494585743	202	198	153	2.06438	3.79549850039409
MREG_TSS21609	0.000263541548449827	0.250458815800696	0.0426608877564835	207	207	195	2.5546	3.47642358851675	0.000236320477075979	NA	0.0331902138646421	-0.000236320477075979	201	201	189	2.51997	3.41061443349754
CCR5_TSS491	0.000331491036061505	0.246511106979516	0.0473532167156015	209	209	200	5.23042	6.81950903349282	0.000487586279933246	NA	0.0482119234111547	-0.000487586279933246	203	203	194	5.05365	6.73545979310345
ST6GAL1_TSS18437,TSS23896	0.000378257647330978	0.244210627631985	0.0496268488356879	209	208	206	3.70036	4.80735480952153	2.6570963687885e-05	NA	0.0123729780967011	-2.6570963687885e-05	203	202	200	3.67524	4.72293987778325
TIAM2_TSS16201,TSS8920	0.000291439429322347	0.248734986110793	0.0438359188692495	201	126	8	0.135787	0.266306408878249	0.000251045168190416	NA	0.0346863002384606	-0.000251045168190416	195	122	7	0.135787	0.265049613468172
SOD2_TSS5048	0.000272212520587905	0.24990553988048	0.0426608877564835	209	209	209	54.7059	62.582723923445	0.000169608085266342	NA	0.0277907196634165	-0.000169608085266342	203	203	203	54.5611	62.2430078817734
ABCA1_TSS19198	0.00018915272417766	0.256056956736815	0.035439505537791	209	209	205	5.8488	6.4192870430622	5.33150887653222e-05	NA	0.0154862157264818	-5.33150887653222e-05	203	203	199	5.7916	6.3298106502463
ANKRD22_TSS21907	4.50869979222724e-06	0.311921842079583	0.00524033880396593	200	186	74	0.572189	0.990218796650718	5.59272586689178e-06	NA	0.00915810142533568	-5.59272586689178e-06	194	180	71	0.571633	0.963141130541872
PLXNC1_TSS1135,TSS5112	2.8123543721786e-05	0.286029488470068	0.0156330220210015	209	209	178	2.22571	2.99771364114833	5.22367986234826e-05	NA	0.0154862157264818	-5.22367986234826e-05	203	203	172	2.1798	2.96388399507389
CMKLR1_TSS22814,TSS7058	3.79856103395603e-06	0.314224345678992	0.00485646028191278	209	208	172	2.14495	3.48928969138756	9.93030972893724e-07	NA	0.00587255904482368	-9.93030972893724e-07	203	202	166	2.10195	3.39936411576355
FUT8_TSS22326,TSS34721	0.00019046014722984	0.255941963292506	0.035439505537791	206	206	188	1.70675	1.74688128708134	0.000375216193883301	NA	0.0424510766729085	-0.000375216193883301	200	200	182	1.68441	1.7374390591133
GPR132_TSS30533	0.000191265223473413	0.255871519219747	0.035439505537791	206	203	128	1.18441	1.54090603162679	0.0001399006364387	NA	0.0253617033192172	-0.0001399006364387	200	197	123	1.1442	1.51722195374384
HS3ST3B1_TSS7808	3.25093419387243e-05	0.283868515825691	0.0169645688443506	208	196	28	0.365773	0.529076080956938	0.00015408348591343	NA	0.0266116755637377	-0.00015408348591343	202	190	24	0.360581	0.516481117832512
PSTPIP2_TSS28471	0.000146766928999435	0.260255970376258	0.0320754732864578	209	209	204	4.53493	5.09686786602871	2.90371034288351e-06	NA	0.00618514500620379	-2.90371034288351e-06	203	203	198	4.51031	5.06270208866995
BCL2_TSS20723	0.000168011701999942	0.258027316262034	0.0339186603912514	208	206	170	1.81542	2.25534995598086	7.9395985302305e-06	NA	0.010493219464158	-7.9395985302305e-06	202	200	166	1.81331	2.23009378719212
ICAM1_TSS170	0.000366121616804084	0.244781085734976	0.0487590090712523	209	209	209	17.0734	18.7117527751196	0.000315271400708471	NA	0.0389306873116388	-0.000315271400708471	203	203	203	16.6991	18.6246986699507
