tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Race)	corr_coef (Race)	fdr (Race)	pval_dir (Race)	fpkm>0_num (Race)	fpkm>0.1_num (Race)	fpkm>1_num (Race)	fpkm_median (Race)	fpkm_mean (Race)
BCAR3_TSS20817,TSS25925,TSS30848,TSS6545,TSS8550	0.000259406186752939	0.252518969639968	0.00932585307959475	209	209	209	15.3034	15.3320407655502	1.0678302634376e-05	NA	0.00299778678461981	1.0678302634376e-05	209	209	209	15.3034	15.3320407655502
ACKR3_TSS15815	0.000596012769225028	0.2378053833827	0.017860120040048	209	209	208	25.4759	31.5220517559809	4.13692339592338e-05	NA	0.00852306306416569	4.13692339592338e-05	209	209	208	25.4759	31.5220517559809
BRPF3_TSS2944	3.4993799412642e-05	0.284763637395257	0.0020329011517876	209	209	209	5.00754	5.0799895215311	5.79338536485468e-05	NA	0.0106477421522261	5.79338536485468e-05	209	209	209	5.00754	5.0799895215311
TNFRSF10A_TSS3617	0.00184610766165099	-0.216229987911178	0.0405817238908194	206	206	203	3.22059	3.38782546411483	0.000354542142166945	NA	0.0365221294594313	-0.000354542142166945	206	206	203	3.22059	3.38782546411483
PDGFD_TSS34467	0.000437570883358667	0.243375616483169	0.0140186149813755	208	207	189	5.75421	7.77908326315789	0.000130286308573258	NA	0.0186990130624777	0.000130286308573258	208	207	189	5.75421	7.77908326315789
EHD4_TSS25626	6.31631354978799e-07	0.339590100710437	9.49713474389004e-05	209	209	209	64.5972	65.225638277512	0.000429523700681202	NA	0.0407555200298462	0.000429523700681202	209	209	209	64.5972	65.225638277512
PTRF_TSS12825	5.39232634893705e-05	-0.278137449378266	0.00283025161817618	191	141	8	0.153704	0.244012173971292	0.000222118543811349	NA	0.0263928485523188	-0.000222118543811349	191	141	8	0.153704	0.244012173971292
PLA2G4C_TSS33173	0.00179680878004562	-0.216770735048552	0.039871004787684	208	208	166	1.85087	2.62152084688995	2.8332870417461e-08	NA	3.29009018434034e-05	-2.8332870417461e-08	208	208	166	1.85087	2.62152084688995
HM13_TSS14132	0.000544313830591716	-0.23945432578418	0.0167845984505126	209	209	209	36.7655	37.8231765550239	2.20644806477817e-05	NA	0.0053177479915932	-2.20644806477817e-05	209	209	209	36.7655	37.8231765550239
TRPM2_TSS9091	6.79203869806479e-07	-0.338688360443705	9.86427847507013e-05	206	201	115	1.13557	1.80009315526316	0.000115538142341325	NA	0.017354670405868	-0.000115538142341325	206	201	115	1.13557	1.80009315526316
