tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Race)	corr_coef (Race)	fdr (Race)	pval_dir (Race)	fpkm>0_num (Race)	fpkm>0.1_num (Race)	fpkm>1_num (Race)	fpkm_median (Race)	fpkm_mean (Race)
STMN1_TSS22933,TSS29867,TSS31608	0.0024314567909239	-0.21065307669029	0.0325224840569365	209	209	209	88.3996	93.6507004784689	2.42125456470549e-06	NA	0.000997674038137599	2.42125456470549e-06	209	209	209	88.3996	93.6507004784689
SNX7_TSS33370	0.000152546955791604	-0.261470395245517	0.00466976375687329	208	207	204	5.40853	5.54343562057416	3.84595030239531e-05	NA	0.00798800751018643	-3.84595030239531e-05	208	207	204	5.40853	5.54343562057416
OBSCN_TSS5086	7.12001024007287e-05	0.27378765063105	0.00260737223132525	207	173	1	0.170226	0.219102973588517	4.64070688594611e-05	NA	0.00920826371569093	4.64070688594611e-05	207	173	1	0.170226	0.219102973588517
GNLY_TSS9696	4.19351999312597e-05	0.28201094248877	0.00178949189556416	198	195	158	2.61008	6.18558918947368	4.72046639273095e-05	NA	0.00920826371569093	4.72046639273095e-05	198	195	158	2.61008	6.18558918947368
TSEN2_TSS14601,TSS6945	0.00127780717213018	-0.223473312826488	0.0211131409998833	209	209	209	8.91694	9.33999177033493	0.000497806386273568	NA	0.044005051038515	-0.000497806386273568	209	209	209	8.91694	9.33999177033493
CD86_TSS31831,TSS34538	0.00311721424130676	-0.205500125179743	0.0381296709117638	209	209	209	40.1621	40.7454937799043	0.000183821933986079	NA	0.0232480145917938	-0.000183821933986079	209	209	209	40.1621	40.7454937799043
MTFR2_TSS16806	0.000535994020237837	-0.239733122844205	0.0116749783066735	207	206	205	3.42465	3.40339032535885	0.00048491224850173	NA	0.0431639484755181	0.00048491224850173	207	206	205	3.42465	3.40339032535885
GIMAP1_TSS29643	0.00436311049660554	0.19832858521161	0.0471367148790085	208	208	206	3.06555	3.28441815789474	9.17019743565706e-05	NA	0.0147340272885994	9.17019743565706e-05	208	208	206	3.06555	3.28441815789474
ANGPT2_TSS28146	0.00132264206469543	-0.222804018774004	0.0216198425883711	206	200	103	0.981813	1.22658732727273	0.000462481764213564	NA	0.0418980414278633	-0.000462481764213564	206	200	103	0.981813	1.22658732727273
CLDN23_TSS6505	3.25697025582722e-05	-0.285847765989109	0.00147087308673498	209	209	209	9.55125	9.47411368421053	6.22213630915531e-05	NA	0.0113283410282146	6.22213630915531e-05	209	209	209	9.55125	9.47411368421053
EPS8_TSS24221	0.000523751954031372	-0.240150720098323	0.0115013949286906	205	203	86	0.919932	0.997146420574163	0.000309872689656728	NA	0.0328477908824084	-0.000309872689656728	205	203	86	0.919932	0.997146420574163
RBMS2_TSS33255	0.000248017081504374	-0.253288513700722	0.00674143789276507	209	209	209	10.115	10.1812158373206	4.71559865549609e-06	NA	0.00160625865135945	4.71559865549609e-06	209	209	209	10.115	10.1812158373206
KITLG_TSS9086	0.00210595767349635	-0.213580523692777	0.0294654964022525	194	111	0	0.10929	0.137892079760766	0.000179211282371195	NA	0.0232195427406575	0.000179211282371195	194	111	0	0.10929	0.137892079760766
SQRDL_TSS11216,TSS34109	0.00138225589026648	0.221945581403036	0.0221933685999382	209	209	209	94.2479	97.3251224880383	3.95173019253386e-07	NA	0.000211877999146628	-3.95173019253386e-07	209	209	209	94.2479	97.3251224880383
ARPIN_TSS15500,TSS25720	0.000259922265602966	-0.252484848770012	0.0069715351847612	209	209	209	9.92608	10.4957314354067	1.97076795381585e-05	NA	0.00488807853554695	1.97076795381585e-05	209	209	209	9.92608	10.4957314354067
GRB2_TSS34211,TSS36139	0.00121218832242731	-0.224492731418006	0.0202779749408144	209	209	209	195.403	193.401611483254	0.00039453860245805	NA	0.0390435573888325	0.00039453860245805	209	209	209	195.403	193.401611483254
CXADR_TSS21327	0.000757822556852429	-0.233384766437232	0.014696894014687	203	191	110	1.13885	1.27829699186603	0.000482293577093188	NA	0.0430881275526762	0.000482293577093188	203	191	110	1.13885	1.27829699186603
TRPM2_TSS9091	0.000156929356649472	0.261000848725498	0.00476964481012741	206	201	115	1.13557	1.80009315526316	0.000115538142341325	NA	0.017354670405868	-0.000115538142341325	206	201	115	1.13557	1.80009315526316
CLCN4_TSS22955	0.00203060437645828	-0.214316699532544	0.0287767530762071	209	209	209	4.29771	4.40762688995215	0.000120962394001986	NA	0.0177599211469467	0.000120962394001986	209	209	209	4.29771	4.40762688995215
